group,key,en-US,de-DE,es-ES,es-MX,fr-FR,it-IT,ko-KR,pt-BR,ru-RU,uk-UA
affixes,thundering.description,"Enemies have 5% more health. While in combat, players are periodically overcharged with primal power from Raszageth's unending storm. This power comes with great risk, and failure to discharge it quickly can have stunning consequences.",,,,,,,,,"Вороги мають на 5% більше здоров'я. У бою гравці час від часу насичуються первісною силою вічної бурі Разаґет. Така сила несе великий ризик, тож якщо її не вивільнити вчасно, наслідки можуть бути приголомшливими."
affixes,afflicted.name,Afflicted,,,,,,,,,Afflicted
affixes,afflicted.description,"While in combat, afflicted souls periodically appear and seek the aid of players.",,,,,,,,,"У бою час від часу з'являються стражденні душі, які шукають допомоги від гравців."
affixes,entangling.name,Entangling,,,,,,,,,Entangling
affixes,entangling.description,"While in combat, entangling vines periodically appear and snare players.",,,,,,,,,"У бою час від часу з'являються звивисті лози, що обплутують гравців."
affixes,incorporeal.name,Incorporeal,,,,,,,,,Incorporeal
affixes,incorporeal.description,"While in combat, incorporeal beings periodically appear and attempt to weaken players.",,,,,,,,,"У бою часу від часу з'являються безтілесні створіння, які намагаються послабити гравців. "
affixes,xalataths_bargain_ascendant.name,Xal'atath's Bargain: Ascendant,,,,,,,,,Xal'atath's Bargain: Ascendant
affixes,xalataths_bargain_ascendant.description,"While in combat, Xal'atath rains down orbs of cosmic energy that empower enemies or players.",,,,,,,,,"У бою Зал'атат прикликає сфери космічної енергії, що посилюють ворогів або гравців."
affixes,xalataths_bargain_devour.name,Xal'atath's Bargain: Devour,,,,,,,,,Xal'atath's Bargain: Devour
affixes,xalataths_bargain_devour.description,"While in combat, Xal'atath tears open rifts that devour the essence of players.",,,,,,,,,"У бою Зал'атат створює розломи, які поглинають сутності гравців."
affixes,xalataths_bargain_voidbound.name,Xal'atath's Bargain: Voidbound,,,,,,,,,Xal'atath's Bargain: Voidbound
affixes,xalataths_bargain_voidbound.description,"While in combat, Xal'atath summons a Void Emissary that empowers nearby enemies.",,,,,,,,,"У бою Зал'атат прикликає посланницю Порожнечі, що посилює ворогів поблизу."
affixes,xalataths_bargain_oblivion.name,Xal'atath's Bargain: Oblivion,,,,,,,,,Xal'atath's Bargain: Oblivion
affixes,xalataths_bargain_oblivion.description,"While in combat, Xal'atath manifests crystals from the void that can be absorbed by enemies or players.",,,,,,,,,"У бою Зал'атат створює кристали Порожнечі, які можуть поглинути вороги або гравці."
affixes,xalataths_bargain_frenzied.name,Xal'atath's Bargain: Frenzied,,,,,,,,,Xal'atath's Bargain: Frenzied
affixes,xalataths_bargain_frenzied.description,"Non-boss enemies become frenzied at 30% health remaining, increasing their Haste by 40%, but increasing their damage taken by 20%.",,,,,,,,,"Ворогів, що не є босами, охоплює шаленство, коли їхній рівень здоров'я падає до 30%. Ефект збільшує швидкість на 40%, а отримувану шкоду — на 20%. "
affixes,xalataths_guile.name,Xal'atath's Guile,,,,,,,,,Xal'atath's Guile
affixes,xalataths_guile.description,"Xal'atath betrays players, revoking her bargains while making deaths subtract 15 seconds from time remaining.",,,,,,,,,Зал’атат зраджує гравців і розриває угоди. Відтепер кожна смерть віднімає 15 секунд від доступного часу.
affixes,challengers_peril.name,Challenger's Peril,,,,,,,,,Challenger's Peril
affixes,challengers_peril.description,"The timer is increased by 90 seconds, but dying subtracts 15 seconds from time remaining.",,,,,,,,,"Час збільшується на 90 секунд, але смерть віднімає 15 секунд."
affixes,xalataths_bargain_pulsar.name,Xal'atath's Bargain: Pulsar,,,,,,,,,Xal'atath's Bargain: Pulsar
affixes,xalataths_bargain_pulsar.description,"While in combat, Xal'atath summons pulsars that orbit players.",,,,,,,,,"У бою Зал'атат прикликає пульсари, що кружляють навколо гравців."
affixes,seasonal_index_preset,%s preset %d,,,,,,,,,%s набір %d
auth,failed,These credentials do not match our records.,,,,,,,,,Уведені дані не збігаються з нашими записами.
auth,throttle,Too many login attempts. Please try again in :seconds seconds.,,,,,,,,,Забагато спроб входу. Спробуйте знову через :seconds сек.
breadcrumbs,home.keystone_guru,Keystone.guru,,,,,,,,,Keystone.guru
breadcrumbs,home.affixes,Affixes,,,,,,,,,Модифікатори
breadcrumbs,home.about,About,,,,,,,,,Про нас
breadcrumbs,home.credits,Credits,,,,,,,,,Подяки
breadcrumbs,home.changelog.list,Changelog,,,,,,,,,Список змін
breadcrumbs,home.changelog.release.view,Release :version,,,,,,,,,Версія :version
breadcrumbs,home.legal.cookies,Cookies,,,,,,,,,Політика cookie-файлів
breadcrumbs,home.legal.privacy,Privacy,,,,,,,,,Політика конфіденційності
breadcrumbs,home.legal.terms,Terms,,,,,,,,,Умови надання послуг
breadcrumbs,home.routes,Routes,,,,,,,,,Маршрути
breadcrumbs,home.routes_expansion,:expansion routes,,,,,,,,,Маршрути :expansion
breadcrumbs,home.routes_game_version,:gameVersion routes,,,,,,,,,Маршрути :gameVersion
breadcrumbs,home.gameversion.update,:gameVersion,,,,,,,,,:gameVersion
breadcrumbs,home.gameversion.dungeon.heatmaps,Heatmaps,,,,,,,,,Тепломапи
breadcrumbs,home.gameversion.dungeon.explore,Explore,,,,,,,,,Огляд
breadcrumbs,home.dungeonroute.new,New route,,,,,,,,,Новий маршрут
breadcrumbs,home.dungeonroutes.search,Search,,,,,,,,,Пошук
breadcrumbs,home.dungeonroutes.popular,Popular,,,,,,,,,Поширене
breadcrumbs,home.dungeonroutes.next_week_affixes,Next week's affixes,,,,,,,,,Модифікатори наступного тижня
breadcrumbs,home.dungeonroutes.this_week_affixes,This week's affixes,,,,,,,,,Модифікатори поточного тижня
breadcrumbs,home.dungeonroutes.new,New,,,,,,,,,Нове
breadcrumbs,home.dungeonroutes.routes_season,Season :season,,,,,,,,,Сезон :season
breadcrumbs,home.dungeonroutes.season.popular,Popular,,,,,,,,,Поширене
breadcrumbs,home.dungeonroutes.season.next_week_affixes,Next week's affixes,,,,,,,,,Модифікатори наступного тижня
breadcrumbs,home.dungeonroutes.season.this_week_affixes,This week's affixes,,,,,,,,,Модифікатори поточного тижня
breadcrumbs,home.dungeonroutes.season.new,New,,,,,,,,,Нове
breadcrumbs,home.dungeonroutes.discoverdungeon.popular,Popular,,,,,,,,,Поширене
breadcrumbs,home.dungeonroutes.discoverdungeon.next_week_affixes,Next week's affixes,,,,,,,,,Модифікатори наступного тижня
breadcrumbs,home.dungeonroutes.discoverdungeon.this_week_affixes,This week's affixes,,,,,,,,,Модифікатори поточного тижня
breadcrumbs,home.dungeonroutes.discoverdungeon.new,New,,,,,,,,,Нове
breadcrumbs,home.my_profile,My public profile,,,,,,,,,Мій публічний профіль
breadcrumbs,home.my_routes,My routes,,,,,,,,,Мої маршрути
breadcrumbs,home.my_tags,My tags,,,,,,,,,Мої мітки
breadcrumbs,home.my_teams,My teams,,,,,,,,,Мої команди
breadcrumbs,home.overview,Overview,,,,,,,,,Огляд
breadcrumbs,home.new_team,New team,,,,,,,,,Нова команда
breadcrumbs,home.edit_team,Edit team,,,,,,,,,Змінити команду
breadcrumbs,home.join_team,Join team,,,,,,,,,Вступити в команду
breadcrumbs,home.admin.admin,Admin,,,,,,,,,Адміністратор
breadcrumbs,home.admin.tools.admin_tools,Admin tools,,,,,,,,,Панель адміністратора
breadcrumbs,home.admin.tools.view_exported_dungeondata,View exported dungeondata,,,,,,,,,Показати експортовані дані підземель
breadcrumbs,home.admin.tools.view_exported_releases,View exported releases,,,,,,,,,Показати експортовані версії
breadcrumbs,home.admin.tools.select_exception,Select exception,,,,,,,,,Вибрати виняток
breadcrumbs,home.admin.tools.mdt_diff,MDT diff,,,,,,,,,Різниця з MDT
breadcrumbs,home.admin.tools.view_mdt_string_contents,View MDT string contents,,,,,,,,,Показати вміст рядка MDT
breadcrumbs,home.admin.tools.import_npcs,Import NPCs,,,,,,,,,Імпортувати НІПів
breadcrumbs,home.admin.releases,Releases,,,,,,,,,Версії
breadcrumbs,home.admin.new_release,New release,,,,,,,,,Нова версія
breadcrumbs,home.admin.edit_release,Edit release,,,,,,,,,Змінити версію
breadcrumbs,home.admin.expansions.expansions,Expansions,,,,,,,,,Розширення
breadcrumbs,home.admin.expansions.new_expansion,New expansion,,,,,,,,,Нове розширення
breadcrumbs,home.admin.expansions.edit_expansion,Edit expansion,,,,,,,,,Змінити розширення
breadcrumbs,home.admin.dungeons.dungeons,Dungeons,,,,,,,,,Підземелля
breadcrumbs,home.admin.dungeons.new_dungeon,New dungeon,,,,,,,,,Нове підземелля
breadcrumbs,home.admin.dungeons.edit_dungeon,Edit :dungeon,,,,,,,,,Змінити :dungeon
breadcrumbs,home.admin.floors.new_floor,New floor,,,,,,,,,Новий поверх
breadcrumbs,home.admin.floors.edit_floor,Edit floor,,,,,,,,,Змінити поверх
breadcrumbs,home.admin.dungeonspeedrunrequirednpc.new_dungeonspeedrunrequirednpc10man,New 10-man Dungeon Speedrun Required NPC,,,,,,,,,Новий обов'язковий НІП для швидкісного забігу в підземеллі (10 гравців)
breadcrumbs,home.admin.dungeonspeedrunrequirednpc.new_dungeonspeedrunrequirednpc25man,New 25-man Dungeon Speedrun Required NPC,,,,,,,,,Новий обов'язковий НІП для швидкісного забігу в підземеллі (25 гравців)
breadcrumbs,home.admin.npcs.npcs,NPCs,,,,,,,,,НІПи
breadcrumbs,home.admin.npcs.new_npc,New NPC,,,,,,,,,Новий НІП
breadcrumbs,home.admin.npcs.edit_npc,Edit :npc,,,,,,,,,Змінити :npc
breadcrumbs,home.admin.npcenemyforces.new_npc_enemy_forces,New NPC enemy forces,,,,,,,,,Нові очки військ НІПа
breadcrumbs,home.admin.npcenemyforces.edit_npc_enemy_forces,Edit NPC enemy forces,,,,,,,,,Змінити очки військ НІПа
breadcrumbs,home.admin.npchealth.new_npc_health,New NPC health,,,,,,,,,Нове здоров'я НІПа
breadcrumbs,home.admin.npchealth.edit_npc_health,Edit NPC health,,,,,,,,,Змінити здоров'я НІПа
breadcrumbs,home.admin.spells.spells,Spells,,,,,,,,,Закляття
breadcrumbs,home.admin.spells.new_spell,New spell,,,,,,,,,Нове закляття
breadcrumbs,home.admin.spells.edit_spell,Edit spell,,,,,,,,,Змінити закляття
breadcrumbs,home.admin.users.users,Users,,,,,,,,,Користувачі
breadcrumbs,home.admin.user_reports.user_reports,User reports,,,,,,,,,Користувацькі звіти
characteristics,taunt,Taunt,,,,,,,,,Taunt
characteristics,incapacitate,Incapacitate,,,,,,,,,Incapacitate
characteristics,subjugate_demon,Subjugate Demon,,,,,,,,,Subjugate Demon
characteristics,control_undead,Control Undead,,,,,,,,,Control Undead
characteristics,silence,Silence,,,,,,,,,Silence
characteristics,knock,Knock,,,,,,,,,Knock
characteristics,grip,Grip,,,,,,,,,Grip
characteristics,shackle_undead,Shackle Undead,,,,,,,,,Shackle Undead
characteristics,mind_control,Mind Control,,,,,,,,,Mind Control
characteristics,polymorph,Polymorph,,,,,,,,,Polymorph
characteristics,root,Root,,,,,,,,,Root
characteristics,fear,Fear,,,,,,,,,Fear
characteristics,banish,Banish,,,,,,,,,Banish
characteristics,disorient,Disorient,,,,,,,,,Disorient
characteristics,repentance,Repentance,,,,,,,,,Repentance
characteristics,imprison,Imprison,,,,,,,,,Imprison
characteristics,sap,Sap,,,,,,,,,Sap
characteristics,stun,Stun,,,,,,,,,Stun
characteristics,slow,Slow,,,,,,,,,Slow
characteristics,sleep_walk,Sleep Walk,,,,,,,,,Sleep Walk
characteristics,scare_beast,Scare Beast,,,,,,,,,Scare Beast
characteristics,hibernate,Hibernate,,,,,,,,,Hibernate
characteristics,turn_evil,Turn Evil,,,,,,,,,Turn Evil
characteristics,mind_soothe,Mind Soothe,,,,,,,,,Mind Soothe
classes,death_knight,Death Knight,,,,Chevalier de la Mort,,,,,Лицар смерті
classes,demon_hunter,Demon Hunter,,,,Chasseur de Démons,,,,,Мисливець на демонів
classes,druid,Druid,,,,Druide,,,,,Друїд
classes,evoker,Evoker,,,,Évocateur,,,,,Пробудник
classes,hunter,Hunter,,,,Chasseur,,,,,Мисливець
classes,mage,Mage,,,,Mage,,,,,Маг
classes,monk,Monk,,,,Moine,,,,,Монах
classes,paladin,Paladin,,,,Paladin,,,,,Паладин
classes,priest,Priest,,,,Prêtre,,,,,Жрець
classes,rogue,Rogue,,,,Voleur,,,,,Пройдисвіт
classes,shaman,Shaman,,,,Chaman,,,,,Шаман
classes,warlock,Warlock,,,,Démoniste,,,,,Чорнокнижник
classes,warrior,Warrior,,,,Guerrier,,,,,Воїн
combatlogdatatypes,player_position,Player position,,,,,,,,,Розташування гравця
combatlogdatatypes,enemy_position,Enemy position,,,,Position de l'ennemi,,,,,Розташування ворога
combatlogeventtypes,npc_death,Enemy death,,,,,,,,,Смерть ворога
combatlogeventtypes,player_death,Player death,,,,,,,,,Смерть гравця
combatlogeventtypes,player_spell,Bloodlust casts,,,,Lancement de Furie Sanguinaire,,,,,Застосування Жаги крові
controller,admintools.error.mdt_string_parsing_failed,MDT string parsing failed. Did you really paste an MDT string?,,,,,,,,,Не вдалося проаналізувати рядок MDT. Ви справді вставили рядок з MDT?
controller,admintools.error.mdt_string_format_not_recognized,The MDT string format was not recognized.,,,,,,,,,Не розпізнано формат рядка MDT.
controller,admintools.error.cli_weakauras_parser_not_found,cli_weakauras_parser not installed.,,,,,,,,,Не встановлено cli_weakauras_parser.
controller,admintools.error.invalid_mdt_string,Invalid MDT string,,,,,,,,,Неправильний рядок MDT
controller,admintools.error.invalid_mdt_string_exception,Invalid MDT string: %s,,,,,,,,,Неправильний рядок MDT: %s
controller,admintools.error.mdt_importer_not_configured,MDT importer is not configured properly. Please contact the admin about this issue.,,,,,,,,,Імпортер MDT налаштований неправильно. Повідомте адміністратора про помилку.
controller,admintools.error.mdt_unable_to_find_npc_for_id,Unable to find NPC for id %d,,,,,,,,,Не вдалося знайти НІПа за ID %d
controller,admintools.error.mdt_mismatched_health,"NPC %s has mismatched health values, MDT: %s, KG: %s",,,,,,,,,"НІП %s має невідповідні значення здоров'я (MDT: %s, KG: %s)"
controller,admintools.error.mdt_mismatched_enemy_forces,"NPC %s has mismatched enemy forces, MDT: %s, KG: %s",,,,,,,,,"НІП %s має невідповідні значення очок ворожих військ (MDT: %s, KG: %s)"
controller,admintools.error.mdt_mismatched_enemy_forces_teeming,"NPC %s has mismatched enemy forces teeming, MDT: %s, KG: %s",,,,,,,,,"НІП %s має невідповідні значення очок ворожих військ для Teeming (MDT: %s, KG: %s)"
controller,admintools.error.mdt_mismatched_enemy_count,"NPC %s has mismatched enemy count, MDT: %s, KG: %s",,,,,,,,,"НІП %s має невідповідні значення кількості ворогів (MDT: %s, KG: %s)"
controller,admintools.error.mdt_mismatched_enemy_type,"NPC %s has mismatched enemy type, MDT: %s, KG: %s",,,,,,,,,"НІП %s має невідповідні типи ворога (MDT: %s, KG: %s)"
controller,admintools.error.mdt_invalid_category,Invalid category,,,,,,,,,Неправильна категорія
controller,admintools.flash.message_banner_set_successfully,Message banner set successfully,,,,,,,,,Банер повідомлення успішно встановлено
controller,admintools.flash.thumbnail_regenerate_result,Dispatched :success jobs for :total routes. :failed failed.,,,,,,,,,Надіслано :success завдань для :total маршруту(-ів). Невдалих — :failed.
controller,admintools.flash.caches_dropped_successfully,Caches dropped successfully,,,,,,,,,Кеш успішно очищено
controller,admintools.flash.releases_exported,Releases exported,,,,,,,,,Версії експортовано
controller,admintools.flash.exception,Exception thrown in admin panel,,,,,,,,, У панелі адміністратора сталася халепа
controller,admintools.flash.feature_toggle_activated,Feature :feature is now activated,,,,,,,,,Функція :feature тепер увімкнена
controller,admintools.flash.feature_toggle_deactivated,Feature :feature is now deactivated,,,,,,,,,Функція :feature тепер вимкнена
controller,admintools.flash.feature_forgotten,Feature :feature successfully forgotten,,,,,,,,,Функція :feature успішно забута
controller,admintools.flash.read_only_mode_disabled,Read-only mode disabled,,,,,,,,,Режим для читання вимкнено
controller,admintools.flash.read_only_mode_enabled,Read-only mode enabled,,,,,,,,,Режим для читання ввімкнено
controller,apidungeonroute.mdt_generate_error,An error occurred generating your MDT string: %s,,,,,,,,,Під час генерування вашого рядка MDT сталася помилка: %s
controller,apidungeonroute.mdt_generate_no_lua,MDT importer is not configured properly. Please contact the admin about this issue,,,,,,,,,Імпортер MDT налаштований неправильно. Повідомте адміністратора про помилку
controller,apiuserreport.error.unable_to_update_user_report,Unable to update user report,,,,,,,,,Не вдалося оновити користувацький звіт
controller,apiuserreport.error.unable_to_save_report,Unable to save report,,,,,,,,,Не вдалося зберегти звіт
controller,brushline.error.unable_to_save_brushline,Unable to save line,,,,,,,,,Не вдалося зберегти лінію
controller,brushline.error.unable_to_delete_brushline,Unable to delete line,,,,,,,,,Не вдалося видалити лінію
controller,dungeon.flash.dungeon_created,Dungeon created,,,,,,,,,Підземелля створено
controller,dungeon.flash.dungeon_updated,Dungeon updated,,,,,,,,,Підземелля оновлено
controller,dungeonroute.unable_to_save,Unable to save route,,,,,,,,,Не вдалося зберегти маршрут
controller,dungeonroute.flash.route_cloned_successfully,Route cloned successfully,,,,,,,,,Маршрут успішно продубльовано
controller,dungeonroute.flash.route_updated,Route updated,,,,,,,,,Маршрут оновлено
controller,dungeonroute.flash.route_created,Route created,,,,,,,,,Маршрут створено
controller,dungeonroutediscover.popular,Popular routes,,,,,,,,,Поширені маршрути
controller,dungeonroutediscover.this_week_affixes,This week's affixes,,,,,,,,,Модифікатори поточного тижня
controller,dungeonroutediscover.next_week_affixes,Next week's affixes,,,,,,,,,Модифікатори наступного тижня
controller,dungeonroutediscover.new,New,,,,,,,,,Нове
controller,dungeonroutediscover.season.popular,%s popular routes,,,,,,,,,Поширені маршрути %s
controller,dungeonroutediscover.season.this_week_affixes,%s this week,,,,,,,,,%s поточного тижня
controller,dungeonroutediscover.season.next_week_affixes,%s next week,,,,,,,,,%s наступного тижня
controller,dungeonroutediscover.season.new,%s new routes,,,,,,,,,Нові маршрути %s
controller,dungeonroutediscover.dungeon.popular,%s popular routes,,,,,,,,,Поширені маршрути %s
controller,dungeonroutediscover.dungeon.this_week_affixes,%s this week,,,,,,,,,%s поточного тижня
controller,dungeonroutediscover.dungeon.next_week_affixes,%s next week,,,,,,,,,%s наступного тижня
controller,dungeonroutediscover.dungeon.new,%s new routes,,,,,,,,,Нові маршрути %s
controller,dungeonspeedrunrequirednpcs.no_linked_npc,No linked NPC,,,,,,,,,Немає пов'язаних НІПів
controller,dungeonspeedrunrequirednpcs.flash.npc_added_successfully,Successfully added NPC,,,,,,,,,НІПа успішно додано
controller,dungeonspeedrunrequirednpcs.flash.npc_deleted_successfully,Successfully removed NPC,,,,,,,,,НІПа успішно прибрано
controller,expansion.flash.unable_to_save_expansion,Unable to save expansion,,,,,,,,,Не вдалося зберегти розширення
controller,expansion.flash.expansion_updated,Expansion updated,,,,,,,,,Розширення оновлено
controller,expansion.flash.expansion_created,Expansion created,,,,,,,,,Розширення створено
controller,generic.error.floor_not_found_in_dungeon,Floor not part of dungeon,,,,,,,,,Поверх не належить до підземелля
controller,generic.error.not_found,Not found,,,,,,,,,Не знайдено
controller,oauthlogin.flash.registered_successfully,Registered successfully. Enjoy the website!,,,,,,,,,Реєстрація успішна. Приємного користування сайтом!
controller,oauthlogin.flash.user_exists,There is already a user with username %s. Did you already register before?,,,,,,,,,Користувач з іменем %s уже існує. Ви вже реєструвалися?
controller,oauthlogin.flash.email_exists,There is already a user with e-mail address %s. Did you already register before?,,,,,,,,,Користувач з електронною адресою %s уже існує. Ви вже реєструвалися?
controller,oauthlogin.flash.permission_denied,Unable to register - the request was denied. Please try again.,,,,,,,,,Не вдалося зареєструватися: запит відхилено. Спробуйте ще раз.
controller,oauthlogin.flash.read_only_mode_enabled,Read-only mode is enabled. You cannot register at this time.,,,,,,,,,Увімкнено режим для читання. Наразі ви не можете зареєструватися.
controller,register.flash.registered_successfully,Registered successfully. Enjoy the website!,,,,,,,,,Реєстрація успішна. Приємного користування сайтом!
controller,register.legal_agreed_required,You have to agree to our legal terms to register.,,,,,,,,,Для реєстрації необхідно погодитися з нашими умовами користування.
controller,register.legal_agreed_accepted,You have to agree to our legal terms to register.,,,,,,,,,Для реєстрації необхідно погодитися з нашими умовами користування.
controller,release.error.unable_to_save_release,Unable to save release,,,,,,,,,Не вдалося зберегти версію
controller,release.flash.release_updated,Release updated,,,,,,,,,Версію оновлено
controller,release.flash.release_created,Release created,,,,,,,,,Версію створено
controller,release.flash.github_exception,An error occurred communicating with Github: :message,,,,,,,,,Під час зв'язку з Github сталася помилка: :message
controller,mappingversion.created_successfully,Added new mapping version!,,,,,,,,,Додано нову версію мапи!
