9/7 09:50:26.066  ZONE_CHANGE,429,"Dire Maul",1
9/7 09:52:57.551  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0003797A05,"Petrified Treant",0x10a48,0x0,0
9/7 09:53:07.567  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0002797A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0002797A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,-105.70,198.07,236,0.1828,30,1868703,934351,1858528,1,0,0,0,1,nil,nil
9/7 09:53:07.567  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-14303-0000797A05,"Petrified Guardian",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-14303-0000797A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,-98.29,196.23,236,1.2371,30,944021,944021,933846,1,0,0,0,nil,nil,nil
9/7 09:53:07.567  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0001F97A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0001F97A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,-91.04,204.03,236,3.7823,30,931587,931586,921412,1,0,0,0,nil,nil,nil
9/7 09:53:07.592  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0001F97A05,"Petrified Treant",0xa48,0x0,0
9/7 09:53:07.592  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0002797A05,"Petrified Treant",0xa48,0x0,0
9/7 09:53:07.592  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-14303-0000797A05,"Petrified Guardian",0x10a48,0x0,0
9/7 09:53:25.941  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0000797A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0000797A05,0000000000000000,0,9420,0,0,304,0,1,0,0,0,-86.44,362.03,236,3.7772,29,925450,925449,916030,1,0,0,0,nil,nil,nil
9/7 09:53:25.941  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0000F97A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0000F97A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,-111.14,352.40,236,0.1809,30,1891742,945871,1881567,1,0,0,0,1,nil,nil
9/7 09:53:25.941  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0001797A05,"Petrified Treant",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0001797A05,0000000000000000,0,9420,0,0,304,0,1,0,0,0,-100.67,353.73,236,0.2694,29,928143,928143,918723,1,0,0,0,nil,nil,nil
9/7 09:53:25.976  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0000797A05,"Petrified Treant",0xa48,0x0,0
9/7 09:53:25.976  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0000F97A05,"Petrified Treant",0xa48,0x0,0
9/7 09:53:25.976  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0001797A05,"Petrified Treant",0x10a48,0x0,0
9/7 09:53:33.704  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11459-0001797A05,"Ironbark Protector",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-4249-429-9259-11459-0001797A05,0000000000000000,0,16280,0,0,424,0,1,0,0,0,-4.62,349.75,236,3.5926,30,1108549,1108549,1092269,64,0,0,0,nil,nil,nil
9/7 09:53:33.735  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11459-0001797A05,"Ironbark Protector",0x10a48,0x0,0
9/7 09:53:43.485  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-14361-0009797A05,"Shen'dralar Wisp",0xa28,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-14361-0009797A05,0000000000000000,0,2035,0,0,212,0,1,0,0,0,-23.04,259.92,236,4.6255,30,937078,937077,935043,1,0,0,0,nil,nil,nil
9/7 09:53:43.485  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-000B797A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-000B797A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,-29.27,263.43,236,5.6863,30,1839591,919795,1829416,1,0,0,0,1,nil,nil
9/7 09:53:43.485  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-000AF97A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-000AF97A05,0000000000000000,0,9420,0,0,304,0,1,0,0,0,-10.80,249.63,236,2.4743,29,945763,945762,936343,1,0,0,0,nil,nil,nil
9/7 09:53:43.485  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-000A797A05,"Petrified Treant",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-000A797A05,0000000000000000,0,9420,0,0,304,0,1,0,0,0,-29.31,253.02,236,0.8023,29,1844381,922190,1834961,1,0,0,0,1,nil,nil
9/7 09:53:43.504  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-000AF97A05,"Petrified Treant",0xa48,0x0,0
9/7 09:53:43.504  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-14361-0009797A05,"Shen'dralar Wisp",0xa28,0x0,0
9/7 09:53:43.504  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-000A797A05,"Petrified Treant",0x10a48,0x0,0
9/7 09:53:43.504  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-000B797A05,"Petrified Treant",0xa48,0x0,0
9/7 09:53:47.433  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0008797A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0008797A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,-30.33,288.77,236,3.2338,30,945661,945661,935486,1,0,0,0,nil,nil,nil
9/7 09:53:47.439  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0007797A05,"Petrified Treant",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0007797A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,-38.39,284.57,236,2.4007,30,1909538,954769,1899363,1,0,0,0,1,nil,nil
9/7 09:53:47.439  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0007F97A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0007F97A05,0000000000000000,0,9420,0,0,304,0,1,0,0,0,-54.13,290.24,236,6.0873,29,940075,940075,930655,1,0,0,0,nil,nil,nil
9/7 09:53:47.465  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0007797A05,"Petrified Treant",0x10a48,0x0,0
9/7 09:53:47.470  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0007F97A05,"Petrified Treant",0xa48,0x0,0
9/7 09:53:47.470  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0008797A05,"Petrified Treant",0xa48,0x0,0
9/7 09:53:54.705  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11483-0000797A05,"Mana Remnant",0x10a48,0x0,22568,"Ferocious Bite",0x1,Creature-0-4249-429-9259-11483-0000797A05,0000000000000000,0,9420,0,0,203,0,0,5258,5258,0,18.34,262.59,236,2.4837,29,10231002,10407519,10221582,1,0,0,0,nil,nil,nil
9/7 09:53:54.728  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11483-0000797A05,"Mana Remnant",0x10a48,0x0,0
9/7 09:53:56.158  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11480-0000797A05,"Arcane Aberration",0x10a48,0x0,106785,"Swipe",0x1,Creature-0-4249-429-9259-11480-0000797A05,0000000000000000,0,10175,0,0,212,0,0,5728,5728,0,5.55,272.78,236,5.7131,30,2901780,2954064,2891605,1,0,0,0,nil,nil,nil
9/7 09:53:56.158  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11483-0000F97A05,"Mana Remnant",0xa48,0x0,106785,"Swipe",0x1,Creature-0-4249-429-9259-11483-0000F97A05,0000000000000000,0,9420,0,0,203,0,0,5258,5258,0,19.08,275.19,236,3.6538,29,2814701,2863263,2805281,1,0,0,0,nil,nil,nil
9/7 09:53:56.158  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11483-0000F97A05,"Mana Remnant",0xa48,0x0,0
9/7 09:53:56.158  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11480-0000797A05,"Arcane Aberration",0x10a48,0x0,0
9/7 09:54:04.412  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0004797A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0004797A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,72.20,259.91,236,0.7845,30,933419,933419,923244,1,0,0,0,nil,nil,nil
9/7 09:54:04.412  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0004F97A05,"Petrified Treant",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0004F97A05,0000000000000000,0,9420,0,0,304,0,1,0,0,0,81.87,259.90,236,2.9747,29,1904390,952195,1894970,1,0,0,0,1,nil,nil
9/7 09:54:04.412  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0005797A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0005797A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,74.07,265.66,236,4.5265,30,921001,921001,910826,1,0,0,0,nil,nil,nil
9/7 09:54:04.423  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0004797A05,"Petrified Treant",0xa48,0x0,0
9/7 09:54:04.423  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0004F97A05,"Petrified Treant",0x10a48,0x0,0
9/7 09:54:04.423  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0005797A05,"Petrified Treant",0xa48,0x0,0
9/7 09:54:08.657  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0009797A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0009797A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,50.44,291.56,236,5.9770,30,937992,937991,927817,1,0,0,0,nil,nil,nil
9/7 09:54:08.657  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0009F97A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0009F97A05,0000000000000000,0,9420,0,0,304,0,1,0,0,0,59.46,292.88,236,3.7159,29,925941,925940,916521,1,0,0,0,nil,nil,nil
9/7 09:54:08.657  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0008F97A05,"Petrified Treant",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0008F97A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,49.89,299.11,236,5.2381,30,962323,962323,952148,1,0,0,0,nil,nil,nil
9/7 09:54:08.672  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0008F97A05,"Petrified Treant",0x10a48,0x0,0
9/7 09:54:08.672  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0009797A05,"Petrified Treant",0xa48,0x0,0
9/7 09:54:08.672  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0009F97A05,"Petrified Treant",0xa48,0x0,0
9/7 09:54:22.478  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-000BF97A05,"Petrified Treant",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-000BF97A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,135.58,192.05,236,2.4727,30,1836130,918065,1825955,1,0,0,0,1,nil,nil
9/7 09:54:22.478  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-000C797A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-000C797A05,0000000000000000,0,9420,0,0,304,0,1,0,0,0,118.75,196.82,236,0.2161,29,950346,950345,940926,1,0,0,0,nil,nil,nil
9/7 09:54:22.478  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-000CF97A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-000CF97A05,0000000000000000,0,9420,0,0,304,0,1,0,0,0,134.72,202.95,236,3.6589,29,919323,919323,909903,1,0,0,0,nil,nil,nil
9/7 09:54:22.488  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-000BF97A05,"Petrified Treant",0x10a48,0x0,0
9/7 09:54:22.488  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-000C797A05,"Petrified Treant",0xa48,0x0,0
9/7 09:54:22.488  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-000CF97A05,"Petrified Treant",0xa48,0x0,0
9/7 09:54:31.222  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11459-0000797A05,"Ironbark Protector",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-4249-429-9259-11459-0000797A05,0000000000000000,0,16280,0,0,424,0,1,0,0,0,1.31,220.61,236,6.2508,30,1152282,1152282,1136002,64,0,0,0,nil,nil,nil
9/7 09:54:31.237  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11459-0000797A05,"Ironbark Protector",0x10a48,0x0,0
9/7 09:54:50.555  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0005F97A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0005F97A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,131.19,351.67,236,2.9978,30,917681,917681,907506,1,0,0,0,nil,nil,nil
9/7 09:54:50.555  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0006F97A05,"Petrified Treant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0006F97A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,115.65,363.87,236,5.1645,30,1915429,957714,1905254,1,0,0,0,1,nil,nil
9/7 09:54:50.555  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11458-0006797A05,"Petrified Treant",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11458-0006797A05,0000000000000000,0,10175,0,0,318,0,1,0,0,0,122.15,352.88,236,2.9319,30,1877471,938735,1867296,1,0,0,0,1,nil,nil
9/7 09:54:50.586  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0006797A05,"Petrified Treant",0x10a48,0x0,0
9/7 09:54:50.586  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0005F97A05,"Petrified Treant",0xa48,0x0,0
9/7 09:54:50.594  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11458-0006F97A05,"Petrified Treant",0xa48,0x0,0
9/7 09:55:12.047  SWING_DAMAGE_LANDED,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11473-0000F97A05,"Eldreth Spectre",0x10a48,0x0,Creature-0-4249-429-9259-11473-0000F97A05,0000000000000000,0,10175,0,0,212,0,0,4143,4143,0,71.69,480.35,236,4.8063,30,2169781,2208876,2159606,1,0,0,0,nil,nil,nil
9/7 09:55:12.047  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11473-0000F97A05,"Eldreth Spectre",0x10a48,0x0,0
9/7 09:55:16.924  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11469-0000F97A05,"Eldreth Seether",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11469-0000F97A05,0000000000000000,0,10175,0,0,212,0,1,0,0,0,55.02,508.64,236,5.1947,30,959563,959563,949388,1,0,0,0,nil,nil,nil
9/7 09:55:16.924  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11470-0001F97A05,"Eldreth Sorcerer",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11470-0001F97A05,0000000000000000,0,10175,0,0,212,0,0,4143,4143,0,48.12,508.60,236,5.8603,30,942273,942273,932098,1,0,0,0,nil,nil,nil
9/7 09:55:16.924  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11477-0001F97A06,"Rotting Highborne",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11477-0001F97A06,0000000000000000,0,2181,0,0,222,0,1,0,0,0,61.30,507.95,236,3.8332,31,960798,960797,958617,1,0,0,0,nil,nil,nil
9/7 09:55:16.924  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11477-0002797A06,"Rotting Highborne",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11477-0002797A06,0000000000000000,0,2333,0,0,232,0,1,0,0,0,49.32,503.90,236,0.0798,32,928599,928598,926266,1,0,0,0,nil,nil,nil
9/7 09:55:16.950  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11469-0000F97A05,"Eldreth Seether",0xa48,0x0,0
9/7 09:55:16.950  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11470-0001F97A05,"Eldreth Sorcerer",0x10a48,0x0,0
9/7 09:55:16.950  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11477-0001F97A06,"Rotting Highborne",0xa48,0x0,0
9/7 09:55:16.950  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11477-0002797A06,"Rotting Highborne",0xa48,0x0,0
9/7 09:55:17.894  SWING_DAMAGE_LANDED,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-14370-00007981E5,"Cadaverous Worm",0x10a48,0x0,Creature-0-4249-429-9259-14370-00007981E5,Creature-0-4249-429-9259-11477-0002797A06,0,20,0,0,212,0,1,0,0,0,49.32,503.90,236,0.1276,30,4293148,2185250,4293128,1,0,0,0,1,nil,nil
9/7 09:55:17.894  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-14370-00007981E5,"Cadaverous Worm",0x10a48,0x0,0
9/7 09:55:18.720  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-14370-00027981E5,"Cadaverous Worm",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-14370-00027981E5,Creature-0-4249-429-9259-11477-0001F97A06,0,20,0,0,212,0,1,0,0,0,58.24,506.84,236,3.4881,30,926973,926972,926953,1,0,0,0,nil,nil,nil
9/7 09:55:18.720  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-14370-0003F981E5,"Cadaverous Worm",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-14370-0003F981E5,Creature-0-4249-429-9259-11477-0001F97A06,0,20,0,0,212,0,1,0,0,0,58.24,506.84,236,3.4881,30,931781,931780,931761,1,0,0,0,nil,nil,nil
9/7 09:55:18.720  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-14370-00037981E5,"Cadaverous Worm",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-14370-00037981E5,Creature-0-4249-429-9259-11477-0001F97A06,0,20,0,0,212,0,1,0,0,0,58.24,506.84,236,3.4881,30,953224,953224,953204,1,0,0,0,nil,nil,nil
9/7 09:55:18.720  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-14370-0002F981E5,"Cadaverous Worm",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-14370-0002F981E5,Creature-0-4249-429-9259-11477-0001F97A06,0,20,0,0,212,0,1,0,0,0,58.24,506.84,236,3.4881,30,960903,960903,960883,1,0,0,0,nil,nil,nil
9/7 09:55:18.720  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-14370-0000F981E5,"Cadaverous Worm",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-14370-0000F981E5,Creature-0-4249-429-9259-11477-0002797A06,0,20,0,0,212,0,1,0,0,0,47.38,503.65,236,0.1276,30,919589,919589,919569,1,0,0,0,nil,nil,nil
9/7 09:55:18.720  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-14370-0001F981E5,"Cadaverous Worm",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-14370-0001F981E5,Creature-0-4249-429-9259-11477-0002797A06,0,20,0,0,212,0,1,0,0,0,47.38,503.65,236,0.1276,30,1875683,937841,1875663,1,0,0,0,1,nil,nil
9/7 09:55:18.720  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-14370-00017981E5,"Cadaverous Worm",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-14370-00017981E5,Creature-0-4249-429-9259-11477-0002797A06,0,20,0,0,212,0,1,0,0,0,47.38,503.65,236,0.1276,30,925757,925757,925737,1,0,0,0,nil,nil,nil
